X - coordinate,Y - coordinate,Time
0.124095178,0.123595178,0
0.248538605,0.246538605,0.01
0.373326748,0.368826748,0.02
0.498456069,0.490456069,0.03
0.623923034,0.611423034,0.04
0.749724107,0.731724107,0.05
0.875855752,0.851355752,0.06
1.002314434,0.970314434,0.07
1.129096618,1.088596618,0.08
1.256198767,1.206198767,0.09
1.383617347,1.323117347,0.1
1.511348821,1.439348821,0.11
1.639389654,1.554889654,0.12
1.767736312,1.669736312,0.13
1.896385257,1.783885257,0.14
2.025332955,1.897332955,0.15
2.15457587,2.01007587,0.16
2.284110467,2.122110467,0.17
2.413933209,2.233433209,0.18
2.544040562,2.344040562,0.19
2.674428991,2.453928991,0.2
2.805094958,2.563094958,0.21
2.936034929,2.671534929,0.22
3.067245369,2.779245369,0.23
3.198722742,2.886222742,0.24
3.330463511,2.992463511,0.25
3.462464143,3.097964143,0.26
3.594721101,3.202721101,0.27
3.727230849,3.306730849,0.28
3.859989852,3.409989852,0.29
3.992994576,3.512494576,0.3
4.126241483,3.614241483,0.31
4.259727039,3.715227039,0.32
4.393447707,3.815447707,0.33
4.527399954,3.914899954,0.34
4.661580242,4.013580242,0.35
4.795985036,4.111485036,0.36
4.930610802,4.208610802,0.37
5.065454003,4.304954003,0.38
5.200511103,4.400511103,0.39
5.335778568,4.495278568,0.4
5.471252862,4.589252862,0.41
5.606930448,4.682430448,0.42
5.742807793,4.774807793,0.43
5.878881359,4.866381359,0.44
6.015147613,4.957147613,0.45
6.151603017,5.047103017,0.46
6.288244037,5.136244037,0.47
6.425067136,5.224567136,0.48
6.562068781,5.312068781,0.49
6.699245434,5.398745434,0.5
6.83659356,5.48459356,0.51
6.974109625,5.569609625,0.52
7.111790091,5.653790091,0.53
7.249631425,5.737131425,0.54
7.38763009,5.81963009,0.55
7.52578255,5.90128255,0.56
7.664085271,5.982085271,0.57
7.802534716,6.062034716,0.58
7.941127351,6.141127351,0.59
8.079859639,6.219359639,0.6
8.218728045,6.296728045,0.61
8.357729034,6.373229034,0.62
8.496859069,6.448859069,0.63
8.636114616,6.523614616,0.64
8.775492139,6.597492139,0.65
8.914988103,6.670488103,0.66
9.054598971,6.742598971,0.67
9.194321209,6.813821209,0.68
9.33415128,6.88415128,0.69
9.47408565,6.95358565,0.7
9.614120782,7.022120782,0.71
9.754253141,7.089753141,0.72
9.894479193,7.156479193,0.73
10.0347954,7.2222954,0.74
10.17519823,7.287198228,0.75
10.31568414,7.351184141,0.76
10.4562496,7.414249603,0.77
10.59689108,7.476391079,0.78
10.73760503,7.537605034,0.79
10.87838793,7.597887932,0.8
11.01923624,7.657236237,0.81
11.16014641,7.715646414,0.82
11.30111493,7.773114927,0.83
11.44213824,7.829638241,0.84
11.58321282,7.885212821,0.85
11.72433513,7.93983513,0.86
11.86550163,7.993501633,0.87
12.00670879,8.046208795,0.88
12.14795308,8.097953079,0.89
12.28923095,8.148730952,0.9
12.43053888,8.198538876,0.91
12.57187332,8.247373317,0.92
12.71323074,8.295230739,0.93
12.85460761,8.342107607,0.94
12.99600038,8.388000384,0.95
13.13740554,8.432905536,0.96
13.27881953,8.476819526,0.97
13.42023882,8.51973882,0.98
13.56165988,8.561659882,0.99
13.70307918,8.602579176,1
13.84449317,8.642493166,1.01
13.98589832,8.681398318,1.02
14.1272911,8.719291095,1.03
14.26866796,8.756167963,1.04
14.41002538,8.792025385,1.05
14.55135983,8.826859826,1.06
14.69266775,8.86066775,1.07
14.83394562,8.893445623,1.08
14.97518991,8.925189908,1.09
15.11639707,8.95589707,1.1
15.25756357,8.985563573,1.11
15.39868588,9.014185882,1.12
15.53976046,9.041760461,1.13
15.68078378,9.068283775,1.14
15.82175229,9.093752288,1.15
15.96266247,9.118162465,1.16
16.10351077,9.14151077,1.17
16.24429367,9.163793668,1.18
16.38500762,9.185007623,1.19
16.5256491,9.205149099,1.2
16.66621456,9.224214562,1.21
16.80670047,9.242200475,1.22
16.9471033,9.259103302,1.23
17.08741951,9.27491951,1.24
17.22764556,9.289645561,1.25
17.36777792,9.30327792,1.26
17.50781305,9.315813053,1.27
17.64774742,9.327247422,1.28
17.78757749,9.337577494,1.29
17.92729973,9.346799731,1.3
18.0669106,9.3549106,1.31
18.20640656,9.361906563,1.32
18.34578409,9.367784086,1.33
18.48503963,9.372539633,1.34
18.62416967,9.376169669,1.35
18.76317066,9.378670657,1.36
18.90203906,9.380039063,1.37
19.04077135,9.380271351,1.38
19.17936399,9.379363986,1.39
19.31781343,9.377313431,1.4
19.45611615,9.374116152,1.41
19.59426861,9.369768613,1.42
19.73226728,9.364267277,1.43
19.87010861,9.357608611,1.44
20.00778908,9.349789078,1.45
20.14530514,9.340805142,1.46
20.28265327,9.330653269,1.47
20.41982992,9.319329922,1.48
20.55683157,9.306831566,1.49
20.69365467,9.293154666,1.5
20.83029569,9.278295685,1.51
20.96675109,9.26225109,1.52
21.10301734,9.245017343,1.53
21.23909091,9.226590909,1.54
21.37496825,9.206968254,1.55
21.51064584,9.186145841,1.56
21.64612013,9.164120134,1.57
21.7813876,9.140887599,1.58
21.9164447,9.1164447,1.59
22.0512879,9.0907879,1.6
22.18591367,9.063913666,1.61
22.32031846,9.035818461,1.62
22.45449875,9.006498749,1.63
22.58845099,8.975950995,1.64
22.72217166,8.944171664,1.65
22.85565722,8.911157219,1.66
22.98890413,8.876904127,1.67
23.12190885,8.84140885,1.68
23.25466785,8.804667853,1.69
23.3871776,8.766677602,1.7
23.51943456,8.727434559,1.71
23.65143519,8.686935191,1.72
23.78317596,8.645175961,1.73
23.91465333,8.602153333,1.74
24.04586377,8.557863773,1.75
24.17680374,8.512303744,1.76
24.30746971,8.465469712,1.77
24.43785814,8.41735814,1.78
24.56796549,8.367965493,1.79
24.69778824,8.317288236,1.8
24.82732283,8.265322832,1.81
24.95656575,8.212065747,1.82
25.08551345,8.157513445,1.83
25.21416239,8.101662391,1.84
25.34250905,8.044509048,1.85
25.47054988,7.986049881,1.86
25.59828136,7.926281356,1.87
25.72569994,7.865199935,1.88
25.85280208,7.802802085,1.89
25.97958427,7.739084268,1.9
26.10604295,7.67404295,1.91
26.2321746,7.607674595,1.92
26.35797567,7.539975668,1.93
26.48344263,7.470942633,1.94
26.60857195,7.400571954,1.95
26.7333601,7.328860097,1.96
26.85780352,7.255803525,1.97
26.9818987,7.181398702,1.98
27.10564209,7.105642094,1.99
27.22903017,7.028530165,2
27.35205938,6.95005938,2.01
27.4747262,6.870226202,2.02
27.5970271,6.789027096,2.03
27.71895853,6.706458527,2.04
27.84051696,6.622516959,2.05
27.96169886,6.537198857,2.06
28.08250068,6.450500684,2.07
28.20291891,6.362418907,2.08
28.32294999,6.272949988,2.09
28.44259039,6.182090393,2.1
28.56183659,6.089836586,2.11
28.68068503,5.996185032,2.12
28.79913219,5.901132194,2.13
28.91717454,5.804674538,2.14
29.03480853,5.706808527,2.15
29.15203063,5.607530627,2.16
29.2688373,5.506837301,2.17
29.38522502,5.404725015,2.18
29.50119023,5.301190233,2.19
29.61672942,5.196229418,2.2
29.73183904,5.089839037,2.21
29.84651555,4.982015552,2.22
29.96075543,4.872755429,2.23
30.07455513,4.762055132,2.24
30.18791113,4.649911125,2.25
30.30081987,4.536319874,2.26
30.41327784,4.421277842,2.27
30.52528149,4.304781493,2.28
30.63682729,4.186827294,2.29
30.74791171,4.067411707,2.3
30.8585312,3.946531197,2.31
30.96868223,3.824182229,2.32
31.07836127,3.700361267,2.33
31.18756478,3.575064776,2.34
31.29628922,3.44828922,2.35
31.40453106,3.320031064,2.36
31.51228677,3.190286771,2.37
31.61955281,3.059052808,2.38
31.72632564,2.926325637,2.39
31.83260172,2.792101724,2.4
31.93837753,2.656377533,2.41
32.04364953,2.519149528,2.42
32.14841417,2.380414174,2.43
32.25266794,2.240167935,2.44
32.35640728,2.098407276,2.45
32.45962866,1.955128662,2.46
32.56232856,1.810328556,2.47
32.66450342,1.664003424,2.48
32.76614973,1.516149729,2.49
32.86726394,1.366763936,2.5
32.96784251,1.21584251,2.51
33.06788192,1.063381915,2.52
33.16737862,0.909378616,2.53
33.26632908,0.753829076,2.54
33.36472976,0.596729761,2.55
33.46257714,0.438077135,2.56
33.55986766,0.277867663,2.57
33.65659781,0.116097808,2.58
33.75276404,-0.047235964,2.59
